TrafficID,DateKey,CustomerKey,ProductKey,ActionType,DeviceType,Browser,SessionID,TimeSpentSeconds,Referrer,IP
17,20230224,188,213,AddToCart,Tablet,Chrome,1cb3e46a-4e40-4062-b0cf-0c5a9058b5ca,281,tiktok.com,79.19.229.184
18,20230218,12,115,AddToCart,Mobile,Chrome,9d5a1ab3-b52a-40ad-9126-bdbe5c604e05,59,tiktok.com,12.95.92.84
19,20230317,230,4,Purchase,Tablet,Chrome,27e8f542-8143-4784-8277-fdebe3bdf2ac,67,google.com,98.253.121.234
20,20230821,85,186,Click,Tablet,Safari,087e340a-f875-44fe-94d3-70b221d56322,164,instagram.com,98.206.43.111
21,20230906,275,190,View,Desktop,Safari,4cc9da84-0252-4a77-a00c-4c01593430ae,50,facebook.com,64.194.132.182
22,20230808,202,164,Click,Mobile,Opera,916089fb-7fa5-4c66-a5ec-747feab022ba,61,instagram.com,120.62.103.35
23,20231203,209,1,AddToCart,Mobile,Chrome,b3ea50b5-d4cc-4545-8b6a-8193be8cee99,256,tiktok.com,202.193.177.56
24,20230108,182,159,AddToCart,Mobile,Chrome,279d9882-03aa-4275-ab98-44a42b60d927,84,facebook.com,156.65.240.102
25,20231206,275,203,RemoveFromCart,Tablet,Chrome,f01994a1-0473-477b-9cae-f759d06c91d5,286,facebook.com,120.16.59.136
26,20230306,16,187,Purchase,Tablet,Edge,c7193597-599c-41cb-8921-bce00d35f723,110,direct,216.98.209.206
27,20230822,304,283,Click,Mobile,Edge,7053e62d-b524-43c3-ab47-9e55e3bb9c29,74,direct,68.218.142.130
28,20230815,208,71,AddToCart,Mobile,Firefox,e1efadb3-ff49-4a0f-a00c-223d66750e36,293,facebook.com,194.5.84.61
29,20231029,277,53,View,Tablet,Firefox,0dae7e82-31d3-4ec1-a19e-7e94702b3dcc,131,facebook.com,38.129.194.150
30,20230129,239,322,View,Desktop,Chrome,4bc17b6b-651b-443e-9e9d-529be5574daf,17,instagram.com,146.147.226.1
31,20230923,327,157,View,Tablet,Chrome,7d827f83-c186-40f8-8ce6-11d35b6538d7,223,google.com,144.35.139.130
32,20231218,112,234,View,Tablet,Opera,97cb014f-cc97-48c7-a41a-2e848b0a017a,117,email,141.65.79.216
33,20230108,360,336,Purchase,Tablet,Edge,085d6ed0-b3eb-4574-bb3c-a9ae6d0622f8,66,facebook.com,149.128.74.180
34,20230223,101,57,Purchase,Mobile,Chrome,99fc9524-b404-48d8-8964-da6fe456025d,288,google.com,130.107.114.4
35,20231012,32,15,View,Tablet,Edge,fa22d49e-6ce6-412f-89ee-296cd1a75e2b,269,google.com,126.132.11.182
36,20230901,288,346,Click,Tablet,Chrome,2ca6ddb1-aa73-46b3-a512-505cec1b7d88,249,direct,221.132.144.90
37,20231206,176,94,AddToCart,Tablet,Opera,eb7429bf-645d-4abb-ad61-03d1e65a039a,155,instagram.com,149.32.157.176
38,20230309,92,230,Purchase,Mobile,Safari,70f39a4e-ece5-4952-8f4e-0eb2a7633173,97,direct,41.214.96.46
39,20230417,221,338,RemoveFromCart,Desktop,Chrome,5f508d83-3076-42ce-b2c8-1d5c75122ed7,118,direct,100.144.215.54
40,20230829,377,16,View,Mobile,Firefox,53128642-4c1b-4fdc-9b7d-d775c590d508,269,instagram.com,88.122.136.134
41,20240118,14,177,View,Desktop,Opera,96621fb4-4043-432d-b374-05c7b6cdd5fd,93,google.com,6.226.85.131
42,20231002,3,336,Click,Desktop,Opera,c9bdd198-150e-4aa7-a551-37555b851f04,199,facebook.com,2.117.119.116
43,20230708,151,165,AddToCart,Desktop,Firefox,80d3b9ed-5e8c-4727-8589-e398d332829d,127,tiktok.com,24.120.16.245
44,20230430,115,271,Purchase,Mobile,Safari,49cdfbac-d17f-45ab-a857-d5c0d302e06d,247,direct,58.221.114.7
45,20230616,86,202,View,Desktop,Chrome,9fe78ac5-a7e7-4e80-9b78-51a6d6c445dc,22,google.com,136.217.46.131
46,20230422,20,209,AddToCart,Desktop,Edge,280faa47-7408-44a3-b787-ac60db0e3d08,131,facebook.com,51.223.94.195
47,20230524,169,205,Click,Tablet,Edge,f7f6f338-89b8-412e-9232-8bf7f81f9690,173,email,211.227.31.224
48,20230813,322,93,Click,Desktop,Edge,6728cbb5-22a8-4934-8de7-be6eb3fbd1a4,268,facebook.com,63.47.116.126
49,20230707,132,233,RemoveFromCart,Mobile,Safari,a560ed78-db96-40c0-8d6e-a6f4bd1b422b,82,facebook.com,7.205.242.181
50,20230727,99,317,RemoveFromCart,Desktop,Opera,5008285a-6eee-43e0-bf3e-48b58a79818d,288,email,52.67.114.28
51,20230507,365,317,RemoveFromCart,Desktop,Opera,25946a8d-e229-4522-81da-4f1550796f48,81,tiktok.com,145.2.107.180
52,20230919,216,61,RemoveFromCart,Tablet,Safari,4d08fa1b-869c-454c-bd82-3c04ada1464a,63,direct,138.209.74.186
53,20230711,380,98,AddToCart,Tablet,Firefox,4118ca9a-7bb6-4e97-918a-2c0858ef05c2,104,email,117.200.160.105
54,20231229,371,344,AddToCart,Mobile,Edge,8499e344-743b-472d-bad0-c614599fd6ca,176,instagram.com,178.136.95.182
55,20231004,395,263,View,Desktop,Safari,c4b906b6-74db-4227-b8c6-8b37bf66ab77,87,google.com,107.99.80.180
56,20230810,384,104,Purchase,Mobile,Safari,8e0794e2-3e1e-4417-b049-6b82d95cd8f0,154,google.com,83.233.126.60
57,20230305,236,209,Click,Mobile,Opera,baad7592-dab7-4a8f-8325-94cafbfd3f98,163,instagram.com,135.248.84.57
58,20230215,257,32,AddToCart,Desktop,Chrome,23dd8670-6ec3-4d30-9234-b9efe41e1781,197,tiktok.com,7.72.239.255
59,20240127,35,30,Click,Mobile,Firefox,43f200b4-ea46-4001-8bbf-5a6927611a36,15,google.com,29.50.224.195
60,20230725,85,342,Purchase,Tablet,Opera,97e69609-87f2-49f7-92e3-726c407a2aec,74,google.com,99.82.192.69
61,20231130,271,347,AddToCart,Mobile,Chrome,41c8bca8-4a23-48a5-8cee-55185dd2d5a8,145,tiktok.com,222.141.59.94
62,20230418,330,204,View,Tablet,Edge,b64911e7-5d5a-46d4-93f7-ef54044adc21,130,instagram.com,119.91.26.1
63,20231031,156,151,AddToCart,Tablet,Safari,4c28caaa-179a-44e1-b274-6bdbe697b85c,164,facebook.com,150.104.219.203
64,20230705,46,83,Click,Tablet,Edge,be6fd211-3b33-46d4-ac82-dcdce7e87d32,186,facebook.com,205.45.249.51
65,20231004,263,217,Purchase,Tablet,Chrome,1c9a25ff-f631-4e7f-ab6a-c40fe8b70803,68,direct,117.207.83.82
66,20231126,344,343,AddToCart,Tablet,Safari,b6b4e8aa-4b82-419f-b9d0-e9e215e42ab4,59,email,180.73.31.102
67,20230925,44,70,RemoveFromCart,Mobile,Chrome,c2dbf019-825f-4a7c-8bf5-a4531a0304f2,129,google.com,55.146.166.106
68,20230625,229,127,Purchase,Desktop,Opera,a16027d5-ada6-4d0d-9ea8-c6b0f7609522,14,tiktok.com,169.229.38.10
69,20231105,296,8,View,Desktop,Firefox,49ccf957-c91c-40a9-879f-c21d12d00ebe,298,direct,26.75.117.116
70,20230111,335,80,Purchase,Mobile,Opera,80e7581c-24fd-4030-a76e-e16e1fc09475,35,tiktok.com,213.176.136.123
71,20230219,336,274,AddToCart,Desktop,Opera,bd2d7278-0a20-4539-a855-632bad5c4d74,188,google.com,19.179.122.177
72,20231203,340,354,AddToCart,Desktop,Opera,760a86ac-211f-4e54-a027-b6c61df29139,192,facebook.com,175.202.226.74
73,20231223,301,6,Purchase,Desktop,Firefox,a80a4750-fc4b-43c1-af3a-45b0c424c0e4,111,tiktok.com,178.234.102.156
74,20230321,215,289,Purchase,Mobile,Opera,c5ec21dd-57f3-41cb-a94d-d957c8621146,83,direct,176.140.220.193
75,20230209,386,36,Click,Mobile,Opera,401607c2-d3a2-45be-af81-fedcb9d81ab1,44,tiktok.com,106.35.51.75
76,20230811,112,255,Click,Mobile,Safari,c1d70f76-1b81-435b-abe1-29644ef5d1e3,29,google.com,134.53.95.202
77,20230210,198,164,Purchase,Tablet,Opera,ad66b701-730d-436f-9c0a-18878e3b9927,14,facebook.com,48.168.97.176
78,20230701,9,17,RemoveFromCart,Desktop,Firefox,5a20cc3d-92ee-4909-81b3-74a530bec405,76,tiktok.com,195.121.66.184
79,20230114,95,18,Click,Tablet,Opera,d29a98dc-e0ae-4bb2-8163-a1ecda76f086,182,email,8.113.224.193
80,20231125,174,138,RemoveFromCart,Desktop,Edge,ce5bb377-d3c9-457b-aa2d-b250209fed0a,225,google.com,111.98.227.250
81,20231031,347,207,View,Mobile,Chrome,a15a31d6-6398-4d07-a473-8e80ec1a6bcd,198,instagram.com,6.145.106.207
82,20230815,389,99,Click,Mobile,Chrome,e1fff721-1ac4-4b6c-aeb3-19f8ee9e46b0,177,direct,3.113.17.250
83,20231107,32,8,View,Desktop,Safari,6fc35b9d-dee9-4b9d-91ba-54cdab7cdc80,166,email,57.96.10.70
84,20230523,249,130,AddToCart,Tablet,Chrome,9408157e-0303-405d-a07a-fd5d3e04f980,31,google.com,58.99.215.156
85,20230517,294,50,RemoveFromCart,Mobile,Chrome,d9890b26-d8b0-4d7b-a5df-a748c38dedb3,20,email,55.156.162.248
86,20230110,162,237,View,Tablet,Chrome,4a44ac1e-e59d-4812-8383-02a1baaf0754,61,tiktok.com,26.138.240.210
87,20230405,367,8,View,Tablet,Chrome,8b10e622-20e8-4f9d-8e7b-e2b7ed262673,226,tiktok.com,72.69.41.196
88,20230629,274,262,Click,Mobile,Opera,e547d903-f7a2-4b63-8db4-007b1d3044f6,255,tiktok.com,188.67.158.67
89,20231218,245,270,AddToCart,Tablet,Edge,151f69b1-2633-4699-aa3c-5592829bb186,114,google.com,13.78.54.25
90,20230717,85,180,AddToCart,Tablet,Opera,289801c4-6f9a-44e6-a467-8d3ab57f897c,270,tiktok.com,65.171.23.40
91,20230523,199,24,Purchase,Desktop,Firefox,0ec184b8-5bea-404c-8e41-3100d0609f5b,137,direct,125.150.198.193
92,20231110,337,83,Purchase,Mobile,Chrome,88d93f89-f7ea-44da-9474-68c84f2b47f5,38,direct,4.167.234.161
93,20230227,18,146,AddToCart,Tablet,Safari,facecd6f-39c2-4ce0-b157-669810cc408b,200,tiktok.com,58.83.186.127
94,20231103,72,147,AddToCart,Mobile,Firefox,88c845bc-2e90-45cc-8957-7095d76564be,28,google.com,130.151.43.68
95,20231207,180,159,View,Desktop,Edge,4c7d5898-87e6-47c8-b66e-450920dbd474,96,instagram.com,166.1.0.77
96,20230924,218,119,Purchase,Tablet,Firefox,2d97c230-2b25-4d57-9c18-e5a549dff600,112,instagram.com,182.24.241.209
97,20230620,223,152,RemoveFromCart,Mobile,Opera,1db0bbfe-0391-4f14-bec5-e22501e98ee3,89,direct,125.224.186.105
98,20230131,328,246,View,Tablet,Firefox,e9a98eed-fc93-47bb-9c2c-3e351d84533b,109,instagram.com,177.105.56.249
99,20230724,75,208,View,Tablet,Edge,d0f3f0ef-3fae-4b56-8405-9f1c515ea9bf,82,facebook.com,151.28.219.156
100,20230523,298,101,View,Mobile,Edge,c6b6fd10-ef9b-4ddb-a3f7-bf5cb0a1d2df,76,tiktok.com,9.118.130.61
101,20231022,88,156,Click,Desktop,Firefox,7a2bc6e2-eb32-403d-9e25-1c8ced2e8d31,149,google.com,86.77.1.6
102,20231031,73,234,RemoveFromCart,Mobile,Safari,85a453b8-482b-4ee7-bfad-4e1c5bc14117,135,tiktok.com,54.102.53.79
103,20231018,171,28,RemoveFromCart,Mobile,Opera,aecf7ff1-93f5-443b-a15d-e169ba8ea8be,172,instagram.com,47.2.114.31
104,20230207,23,61,View,Desktop,Opera,b1f1683c-b468-48ca-a3f1-3f758f1dde5c,176,facebook.com,65.120.41.63
105,20231102,327,256,Purchase,Tablet,Safari,aad5f8d9-446d-447a-aa2d-92c5750bb98b,149,facebook.com,170.92.206.217
106,20231010,220,202,Purchase,Mobile,Edge,bf109e97-9c39-43df-b61a-90568db44bd9,110,facebook.com,113.107.151.89
107,20240203,235,268,RemoveFromCart,Tablet,Opera,3dd60164-b73c-4200-b121-d6dc078b17fd,127,facebook.com,153.189.110.114
108,20231015,20,90,RemoveFromCart,Desktop,Edge,122bc01f-741c-4323-9ef7-0e4674cc5ccc,175,direct,209.94.165.89
109,20231017,248,151,Click,Mobile,Safari,ff07da2b-7d87-4024-81a5-51b6fff94c14,32,instagram.com,84.10.145.15
110,20230121,269,158,RemoveFromCart,Desktop,Safari,96398c16-f269-438c-83be-b597496bed63,198,tiktok.com,90.254.253.185
111,20230929,215,108,RemoveFromCart,Mobile,Opera,e87a251f-b17d-423a-8a06-4421aba10edf,197,facebook.com,173.175.28.49
112,20230807,230,342,RemoveFromCart,Mobile,Firefox,08b65493-e865-47d1-8940-9e236e5aa60e,213,email,108.178.160.85
113,20230716,47,70,Purchase,Desktop,Firefox,6e8ed360-e96d-4b2d-a4c6-ff83199f6b24,118,tiktok.com,10.60.86.19
114,20230311,57,131,Purchase,Desktop,Edge,9a89c12b-bca2-462d-b22b-ff3031c9ab33,296,google.com,41.38.38.3
115,20230211,400,274,View,Tablet,Edge,567f2299-69e9-41b5-8f1e-66a775ee8b42,53,instagram.com,204.24.32.190
116,20230218,278,99,Click,Desktop,Edge,916a06e9-fae2-43ef-a271-00408a849c22,60,email,116.146.82.136
117,20230407,165,239,AddToCart,Mobile,Chrome,8e452d4b-a68b-466f-bbe2-45d1cb51626b,42,instagram.com,43.252.254.90
118,20230117,160,56,Purchase,Tablet,Firefox,3dea08ba-207e-49cd-b2c4-ddb9a4debd54,250,google.com,45.36.105.237
119,20230811,84,66,AddToCart,Mobile,Safari,28450673-ab45-4b9b-afd2-7e05162e03f0,112,tiktok.com,151.96.73.188
120,20240102,167,323,RemoveFromCart,Desktop,Edge,93fbfcca-d6a6-440b-af25-9f1c684a9c53,103,facebook.com,22.235.114.60
121,20240110,166,249,RemoveFromCart,Desktop,Edge,5fae10e8-a4ee-42d9-95e6-f43bd641c63c,256,google.com,164.226.207.195
122,20230903,118,258,Click,Mobile,Safari,4000460d-7b0b-479c-aa12-9c1fbb716f86,109,facebook.com,21.221.6.113
123,20230303,279,88,AddToCart,Desktop,Safari,5de5849a-25c8-40c2-8d5a-16cd4e1f2482,50,instagram.com,103.69.30.197
124,20230727,20,267,View,Mobile,Safari,3d3bc299-c9ff-45df-aca0-a9864e94951a,17,email,22.129.4.145
125,20230512,322,117,Purchase,Tablet,Firefox,305ce0ab-35af-4bf0-b61a-7668ee9b1ace,241,direct,220.61.84.208
126,20230304,323,166,AddToCart,Desktop,Safari,056d8b5f-d228-4f21-9bb8-f8c34440d9e3,130,google.com,92.186.15.255
127,20230912,26,5,Click,Desktop,Firefox,3d4d1407-5fe8-4ff2-8063-fdf3ca84bf2a,56,email,173.58.54.141
128,20230608,143,82,Purchase,Tablet,Opera,edcbc024-3e6c-40f7-97f5-a6e33a9e8db2,230,email,156.15.147.179
129,20230904,168,294,Click,Mobile,Chrome,65286ff6-5bb9-4ef2-ac50-5f83271b7250,94,google.com,141.132.252.136
130,20230422,349,288,RemoveFromCart,Mobile,Safari,618d4f71-d482-4b2a-932d-0baee36a929b,158,email,213.100.228.14
131,20230730,58,186,Click,Desktop,Firefox,9ebac6f9-e273-4a1f-9e2a-361366600916,198,google.com,88.99.248.134
132,20231125,291,200,View,Mobile,Firefox,eef9fa50-b332-4f02-86d6-1c4da56cc3c3,208,google.com,173.179.142.180
133,20231021,357,181,RemoveFromCart,Desktop,Firefox,306eacf7-0bc6-4ea9-b4b9-b90d04060c0d,243,direct,35.42.187.138
134,20230519,27,15,Purchase,Desktop,Chrome,3ee849a7-cbd9-4cf1-b51a-91c5f641e3e6,97,email,144.208.150.160
135,20230823,1,119,RemoveFromCart,Mobile,Safari,1b202ee4-5541-4e2d-831c-baccb954eab4,19,facebook.com,168.157.238.243
136,20230406,297,203,AddToCart,Tablet,Opera,3d81a9e8-ebda-494b-ac8e-7723ce991163,150,instagram.com,114.138.109.183
137,20230916,325,114,Click,Tablet,Chrome,e613549f-d33f-42a2-9ea6-a5594317eea3,118,google.com,129.109.83.130
138,20230629,14,58,View,Desktop,Chrome,be43751f-0df1-4d7a-a292-15280fb82cbf,184,direct,145.241.135.223
139,20230907,289,299,Purchase,Tablet,Edge,999b14ba-b8d9-4559-919d-4782f852897e,71,email,206.45.136.69
140,20230305,120,283,AddToCart,Tablet,Opera,166fe6af-32f5-4f9a-acce-6ddea044ee8d,89,google.com,29.41.134.113
141,20230701,356,63,Purchase,Mobile,Edge,e6991304-468f-416c-8d7a-c8b4ddb2d135,183,tiktok.com,88.255.135.66
142,20230313,161,343,View,Desktop,Opera,8205f78f-b107-463b-977e-fe2878c4b8c5,56,direct,57.208.157.214
143,20230330,159,221,Purchase,Tablet,Chrome,4160f2fd-39de-424b-b601-8c10095b3580,77,tiktok.com,37.125.136.71
144,20230312,324,29,Click,Tablet,Opera,02d3e1b8-4b72-4025-8bbb-69c55a3fc610,233,facebook.com,217.120.222.130
145,20231012,393,26,View,Mobile,Opera,83e0429e-4f1e-4c50-9799-9e46a7cfa8eb,79,google.com,147.182.132.207
146,20230212,193,205,AddToCart,Tablet,Safari,2b2f3687-987e-4370-817a-5c3f0de0b400,100,facebook.com,17.94.202.65
147,20230428,145,271,View,Mobile,Edge,2dabfacf-ac90-43d0-82d3-1dff2cb06bd4,34,tiktok.com,51.167.155.198
148,20231109,162,284,RemoveFromCart,Desktop,Edge,8f7c0c87-88d9-43d6-8bdc-4312df56ff69,7,google.com,69.101.245.198
149,20230319,217,200,AddToCart,Desktop,Firefox,4cf7179c-7349-4745-bf3b-ee67bb8f6db2,291,instagram.com,207.8.4.70
150,20231112,31,279,View,Desktop,Opera,fe147b50-7d64-4452-a77d-f777c05fe0fe,160,direct,121.83.231.251
151,20230722,59,147,Click,Desktop,Chrome,a8afbaaf-2446-463d-8ce1-17d530a6bda9,264,google.com,160.189.153.149
152,20230222,182,202,Purchase,Mobile,Chrome,b86fef58-80e5-4587-8f91-aaad552bed27,88,google.com,12.255.80.56
153,20230904,47,178,RemoveFromCart,Tablet,Safari,d5c3efce-a2e9-402d-bf61-e91bcb16822b,17,email,93.140.185.111
154,20230706,149,171,Click,Tablet,Edge,892c166b-fdc7-4b99-a775-1dbbabea5953,35,google.com,182.44.190.116
155,20240127,76,55,Purchase,Tablet,Opera,c144a4a0-b4d4-4e4d-b3b3-ed9214d3374d,170,instagram.com,10.139.19.146
156,20230703,298,313,RemoveFromCart,Mobile,Edge,6e9b53dd-97b5-49e0-a9e9-d4025ad790b7,114,google.com,16.124.9.176
157,20230106,67,253,View,Tablet,Firefox,beb7aba0-359c-4e34-a5d7-fb29517ddcbe,112,instagram.com,125.68.32.165
158,20231203,158,283,View,Tablet,Opera,d12122f6-d4b0-4187-8351-c37fd635c5ab,53,email,179.118.82.31
159,20230502,394,71,RemoveFromCart,Tablet,Opera,b52c3670-f3c3-47c0-919d-09a1078732bb,193,instagram.com,216.188.67.127
160,20230927,94,111,Click,Mobile,Opera,6848d4dc-2fa7-4cda-b4b7-7746f6e9ee7d,81,direct,153.119.204.18
161,20230102,361,113,Purchase,Mobile,Chrome,4d3246f2-0ced-48f3-856e-f2bc13df30ba,295,google.com,214.96.86.162
162,20230803,249,259,Click,Tablet,Opera,f6832ee8-ca29-4719-b3f9-6f3f5757edb5,108,tiktok.com,214.210.149.34
163,20230620,374,300,RemoveFromCart,Desktop,Opera,43e50f47-8d2e-493c-8c06-1a9b5f66311b,284,email,9.63.82.127
164,20230328,270,205,Purchase,Desktop,Opera,e3ea8876-5699-4001-8c6f-fc60b1e16f5b,244,email,171.146.156.58
165,20230225,108,65,AddToCart,Desktop,Edge,c2ebdb44-6b11-4c16-839d-081e59e83d0f,68,facebook.com,35.7.253.172
166,20231225,381,63,View,Desktop,Firefox,ed7e9bbe-1bfa-4f1a-86e5-865d2839d9cf,291,tiktok.com,171.40.129.65
167,20230404,148,156,Click,Desktop,Opera,2195a855-ed72-4a4c-bd43-6deeec5548ba,267,direct,165.66.243.166
168,20230616,100,200,Click,Tablet,Edge,78f08e95-14bb-4c6e-93d4-0a719c925136,211,tiktok.com,78.133.228.11
169,20230919,374,297,Purchase,Mobile,Safari,89d1b05a-7d6c-48d3-b1e1-149bfa7e8cd3,39,instagram.com,191.85.81.122
170,20230513,215,326,Click,Desktop,Safari,ee578b45-e416-4afe-b8c3-5ac515201cad,143,email,203.48.122.80
171,20230126,352,107,Click,Mobile,Edge,e83d476f-6205-4cee-a585-8e8ba152c8b3,224,instagram.com,60.91.136.237
172,20231224,252,135,Purchase,Tablet,Opera,b17032b6-0573-4101-b00b-d86004de4080,165,email,136.67.96.253
173,20230301,4,154,View,Tablet,Opera,f59bdc12-3b19-4b70-9719-1c4c72fa4e7f,39,email,6.158.27.105
174,20230509,138,203,Purchase,Mobile,Safari,bab7be29-beb8-45e5-9ccc-06dfe11ff978,293,direct,25.23.98.199
175,20240201,207,259,AddToCart,Desktop,Chrome,95591599-c4d7-4715-be50-402de4e3c95e,11,email,53.240.173.253
176,20230428,163,278,Purchase,Desktop,Opera,665a4523-26be-4f6f-ad73-4e813f74b549,71,facebook.com,191.186.74.60
177,20230930,212,117,RemoveFromCart,Desktop,Safari,81a26fc7-38cd-4e4b-a951-08fdf0267822,41,google.com,97.138.213.211
178,20230811,25,310,Click,Desktop,Opera,840bb800-c549-4c2d-940a-5c8ca4cd14af,62,facebook.com,129.12.240.20
179,20230219,233,7,Click,Tablet,Safari,9b83571f-0cd6-4939-9a44-94a6e876b972,7,direct,144.28.196.218
180,20230624,24,158,RemoveFromCart,Mobile,Edge,1042fb49-cfec-41f7-9c33-634e8ccb4d2e,79,google.com,172.16.83.46
181,20230712,60,89,RemoveFromCart,Mobile,Firefox,2d756ed7-f201-40aa-ba41-407908e6388e,261,facebook.com,158.154.81.203
182,20230516,362,129,Purchase,Tablet,Edge,4fdc41fb-0c4e-4800-a3a5-174519b8db86,205,tiktok.com,10.57.61.49
183,20230105,167,194,Click,Desktop,Chrome,81eb7154-16e8-4da2-8ed9-15271d92c727,260,instagram.com,200.131.18.225
184,20230422,6,27,AddToCart,Mobile,Chrome,c6946c98-eed3-4ffe-8da9-44e49b8aeff3,300,email,89.80.217.89
185,20231107,100,36,AddToCart,Mobile,Safari,00bb06d3-6103-46d6-b7d2-49d20258005a,43,email,5.88.124.158
186,20231202,302,68,Click,Desktop,Opera,c6068bf6-f3ec-4bc6-a240-5e4d7f0d95f4,271,facebook.com,118.55.252.189
187,20231220,92,187,AddToCart,Desktop,Opera,e0efe958-1391-4787-b896-eb81106bc009,56,facebook.com,196.103.32.140
188,20230304,12,173,View,Desktop,Edge,69a419a0-f851-4c5b-9f13-8012f165f902,252,google.com,133.213.176.67
189,20230319,272,333,AddToCart,Mobile,Safari,cef68654-7670-43d2-a377-6cb5ba2cb0c5,196,instagram.com,129.5.27.134
190,20240111,79,342,Click,Mobile,Chrome,fde6c984-6efd-4f70-89ae-15b348a5b084,8,direct,188.51.12.214
191,20231030,209,146,RemoveFromCart,Tablet,Edge,14d3fad0-7866-4867-a806-5ef6459c802b,32,instagram.com,82.164.72.181
192,20230804,227,272,RemoveFromCart,Desktop,Firefox,c7fb7612-f816-47d7-9ddc-658d5c500b11,156,direct,137.22.157.65
193,20230928,316,194,Purchase,Tablet,Firefox,656a3d5c-2a62-4326-958e-daabffc0f052,92,facebook.com,99.68.227.79
194,20231121,218,117,View,Tablet,Safari,0515007f-1fc2-4f12-a7a4-414c844dde46,31,google.com,205.106.76.130
195,20231125,383,3,Click,Mobile,Firefox,6651e0e3-7f94-4c56-b721-bbf4a15f1e91,39,google.com,75.43.186.228
196,20230308,207,303,AddToCart,Tablet,Safari,5bdb575b-7afc-4fb5-a9d1-06b2ede5882d,247,google.com,211.155.155.232
197,20230727,243,292,RemoveFromCart,Mobile,Opera,948ac04e-f55f-4ce1-9f8c-79f16aea878d,150,tiktok.com,63.109.42.142
198,20230112,152,307,Click,Tablet,Firefox,40522135-f569-43b0-9202-8bcce2369373,75,direct,103.209.249.196
199,20230131,208,312,RemoveFromCart,Tablet,Chrome,36000102-2510-4336-ad37-923088f19a49,285,instagram.com,172.145.95.190
200,20231028,316,89,RemoveFromCart,Mobile,Firefox,bbfce408-f82e-4e62-afe5-32a2e017b58e,123,instagram.com,62.18.66.218
201,20231222,146,338,Click,Desktop,Safari,79d1ec35-f318-4d78-8d41-f1b0fe05f469,282,facebook.com,175.121.159.50
202,20240115,27,59,RemoveFromCart,Desktop,Safari,9fd244f9-4325-4b71-a16d-788fc70b66be,239,tiktok.com,222.228.42.72
203,20230906,239,354,View,Mobile,Edge,10eadbd7-fc47-4f16-a848-0bb28e9c0de4,54,direct,110.135.198.234
204,20230102,144,143,RemoveFromCart,Mobile,Opera,24a184fe-caba-40d0-a9e6-243e61d92dc7,107,google.com,167.42.28.5
205,20240202,178,251,View,Mobile,Firefox,94003e26-022c-487b-87c5-613cea54e001,192,google.com,102.54.99.37
206,20230224,155,46,AddToCart,Mobile,Firefox,3cf754d8-bf75-4934-86d9-fa16d91dbe61,102,tiktok.com,24.126.165.228
207,20230323,294,162,RemoveFromCart,Mobile,Edge,a12651da-af2c-469d-949e-4827f2b0098f,199,google.com,177.129.45.162
208,20231111,242,115,RemoveFromCart,Tablet,Chrome,b5b921a1-8deb-4559-8a53-9cf8f4367b16,155,instagram.com,129.31.198.11
209,20231221,154,154,AddToCart,Desktop,Edge,b700008e-89c8-4bd2-9d66-46490bccf00e,176,tiktok.com,205.184.68.153
