Link,Cong_Giao_tiep,Wireless,Webcams,Features,Den_ban_phim
//www.thegioididong.com/laptop/asus-gaming-vivobook-k3605zu-i5-rp296w?utm_flashsale=1,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x Thunderbolt 4 (hỗ trợ display/power delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3","Full HD Webcam
Camera IR",Mở khóa khuôn mặt,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/asus-vivobook-s-16-s5606ca-ultra-5-ri114ws,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",SD,HD webcam,"TPM 2.0
Công tắc khóa camera"
//www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507nv-r7-lp031w?utm_flashsale=1,"LAN (RJ45)
Jack tai nghe 3.5 mm
1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)
2 x USB 3.2
HDMI
1 x USB Type-C USB 4 (hỗ trợ DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/asus-x1404va-i5-nk771ws,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Bluetooth 5.2
Wi-Fi 6E (802.11ax)",Micro SD,HD webcam,Đèn chuyển màu RGB - 1 vùng
//www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83jc003yvn,"LAN (RJ45)
3 x USB 3.2
HDMI
1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)
1 x Headphone/microphone combo","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",Micro SD,Full HD Webcam,"TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera"
//www.thegioididong.com/laptop/dell-xps-13-9340-ultra-7-hxrgt2,2 x Thunderbolt 4 (hỗ trợ Power Delivery),"Wi-Fi 7 (802.11be)
Bluetooth 5.4",Micro SD,Camera IR 5 MP,"Tiêu chuẩn Nền Intel Evo
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/lenovo-ideapad-slim-5-oled-14irh10-i5-83hr0001vn,Không có,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/hp-pavilion-15-eg3095tu-i5-8c5l6pa?utm_flashsale=1,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Lớp phủ ASUS Antimicrobial Guard
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/lenovo-yoga-pro-7-14imh9-ultra-7-83e2005dvn,"HDMI
1 x USB-C (hỗ trợ Thunderbolt 4/USB 4, USB Power Delivery 3.0 and DisplayPort 1.4)
1 x Headphone/microphone combo
1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
1 x USB 3.2 (Always on)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Full HD Webcam,"Bản lề mở 180 độ
Công tắc khóa camera",Đèn chuyển màu RGB - 4 vùng
//www.thegioididong.com/laptop/msi-gaming-gf63-thin-12ve-i5-460vn,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3","Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/lg-gram-14z90s-ultra-5-14z90sgah55a5,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C USB 4 (hỗ trợ Power Delivery và Thunderbolt 4)
1 x USB Type-C (chỉ hỗ trợ Power Delivery)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,"TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/lenovo-loq-15iax9e-i5-83lk000bvn,"LAN (RJ45)
2 x USB 3.2
HDMI
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)
1 x Headphone/microphone combo","Bluetooth 5.0
Wi-Fi 6 (802.11ax)",SD,HD webcam,Bảo mật vân tay
//www.thegioididong.com/laptop/macbook-air-15-inch-m4-16gb-1tb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,"Full HD Webcam
Camera IR","Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/gigabyte-g5-mf5-rc555-i7-9rc55mf5fjiinivn000?utm_flashsale=1,"Mini DisplayPort
1 x USB 2.0
1 x USB 3.2
HDMI
1 x Microphone jack
1 x Headphone/microphone combo
LAN (RJ45)
2 x USB Type-C","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",Micro SD,"Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
1 x USB 3.2 (Always on)
2 x USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/msi-prestige-13-ai-a2vmg-ultra-7-258v-040vn,"HDMI
1 x USB 3.2
1 x Headphone/microphone combo
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",HD webcam,"Lớp phủ ASUS Antimicrobial Guard
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk050w,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 7 (802.11be)
Bluetooth 5.4","HD webcam
Camera IR","Bảo mật vân tay
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/hp-omen-16-xf0070ax-r9-8w945pa,"LAN (RJ45)
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
2 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,"Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/lenovo-thinkpad-e16-ultra-5-21ma0049vn,"LAN (RJ45)
1 x USB 3.2
HDMI
1 x USB-C (hỗ trợ Thunderbolt 4/USB 4, USB Power Delivery 3.0 và DisplayPort 2.1)
1 x USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)
1 x Headphone/microphone combo
1 x USB 3.2 (Always on)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Camera IR 5 MP,"TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Tiêu chuẩn Nền Intel Evo
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/lenovo-v14-core-5-83hd0001vn?utm_flashsale=1,"LAN (RJ45)
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C 3.2 (hỗ trợ USB Power Delivery và DisplayPort 1.2)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,Full HD Webcam,Bảo mật vân tay
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-p16wd2,"USB Type-C
1 x USB 2.0
1 x USB 3.2
HDMI
1 x Headphone/microphone combo","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/lenovo-thinkbook-14-g7-ultra-7-21mr0070vn,"LAN (RJ45)
1 x USB 3.2
HDMI
1 x USB-C (hỗ trợ Thunderbolt 4/USB 4, USB Power Delivery 3.0 và DisplayPort 2.1)
1 x USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)
1 x Headphone/microphone combo
1 x USB 3.2 (Always on)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",SD,HD webcam,Không có đèn
//www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da0020vn?utm_flashsale=1,"HDMI
2 x USB Type-C 3.2 (hỗ trợ Power Delivery 3.0 và DisplayPort 1.4)
1 x USB 3.2
1 x Headphone/microphone combo
1 x USB 3.2 (Always on)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",SD,HD webcam,Không có đèn
//www.thegioididong.com/laptop/acer-predator-helios-18-ai-ph18-73-93p0-ultra-9-nhqvysv001,Không có,"Wi-Fi 6 (802.11ax)
Bluetooth 5.3",HD webcam,Công tắc khóa camera,Không có đèn
//www.thegioididong.com/laptop/asus-asus-vivobook-15-oled-a1505za-i5-ma415w,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,"TPM 2.0
Công tắc khóa camera",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/hp-240-g9-i3-ag2j5at,Không có,"Wi-Fi 802.11 a/b/g/n/ac
Bluetooth 5.1",HD webcam,Công tắc khóa camera,Không có đèn
//www.thegioididong.com/laptop/dell-xps-13-9340-ultra-7-hxrgt,2 x Thunderbolt 4 (hỗ trợ Power Delivery),"Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"TPM 2.0
MUX Switch",Đèn chuyển màu RGB - 4 vùng
//www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-7-21ms007hvn,"LAN (RJ45)
1 x USB 3.2
HDMI
1 x USB-C (hỗ trợ Thunderbolt 4/USB 4, USB Power Delivery 3.0 và DisplayPort 2.1)
1 x USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)
1 x Headphone/microphone combo
1 x USB 3.2 (Always on)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Micro SD,"Full HD Webcam
Camera IR","Độ bền chuẩn quân đội MIL STD 810H
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/lenovo-thinkpad-x13-ultra-7-21lu004lvn,"HDMI
1 x USB 3.2
1 x Headphone/microphone combo
2 x USB-C (hỗ trợ Thunderbolt 4/USB 4, USB Power Delivery và DisplayPort 2.1)
1 x USB 3.2 (Always on)","Bluetooth 5.2
Wi-Fi 6E (802.11ax)",Full HD Webcam,"TPM 2.0
AI Chip LA1
Công tắc khóa camera",Đèn chuyển màu RGB - 4 vùng
//www.thegioididong.com/laptop/dell-inspiron-14-5430-i5-i5p165w11sl2050?utm_flashsale=1,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C Thunderbolt 4.0 (hỗ trợ DisplayPort và Power Delivery)","Wi-Fi 6 (802.11ax)
Bluetooth 5",HD webcam,MUX Switch,Đèn chuyển màu RGB - 4 vùng
//www.thegioididong.com/laptop/asus-x1504za-i5-nj1608w,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Tản nhiệt ASUS IceCool Plus
Quạt IceBlade 87 cánh","Lớp phủ ASUS Antimicrobial Guard
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/dell-inspiron-15-3520-i5u085w11blu?utm_flashsale=1,"Jack tai nghe 3.5 mm
1 x USB 2.0
2 x USB 3.2
HDMI","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,Không có đèn,Không có
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-71043888,"USB Type-C
1 x USB 2.0
HDMI
1 x Headphone/microphone combo
USB 3.0","Wi-Fi 7 (802.11be)
Bluetooth 5.4","Full HD Webcam
Camera IR","Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/hp-15-fd1063tu-ultra-5-9z2y1pa,"HDMI
2 x USB Type-A
1 x USB Type-C 3.2 (hỗ trợ USB Power Delivery và DisplayPort 1.2)
1 x Headphone/microphone combo","Wi-Fi 6E (802.11ax)
Bluetooth 5",HD webcam,"Tản nhiệt ASUS IceCool Plus
Quạt IceBlade 87 cánh","Lớp phủ ASUS Antimicrobial Guard
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/asus-fa507nvr-r7-lp007w,"LAN (RJ45)
Jack tai nghe 3.5 mm
1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)
2 x USB 3.2
HDMI
1 x USB Type-C USB 4 (hỗ trợ DisplayPort)","Wi-Fi 802.11 a/b/g/n/ac
Bluetooth 5.1",HD webcam,"TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/lenovo-legion-5-15irx9-i7-83jj000fvn,"LAN (RJ45)
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)
1 x USB Type-C (hỗ trợ DisplayPort 1.4)
1 x USB 3.2 (Always on)","Wi-Fi 6 (802.11ax)
Bluetooth 5.1",Micro SD,HD webcam,Bản lề mở 180 độ
//www.thegioididong.com/laptop/acer-aspire-5-a514-56p-54tn-i5-nxkhrsv004?utm_flashsale=1,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",SD,Full HD Webcam,"TPM 2.0
Màn hình gập 360 độ
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/msi-katana-a15-ai-b8vg-r7-465vn,"LAN (RJ45)
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/asus-vivobook-s-16-m5606ka-r7-ai-350-ri016ws,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C USB 4 (hỗ trợ DisplayPort và Power Delivery)
1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,1080p FaceTime HD camera,Bảo mật vân tay
//www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0047vn,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)
1 x USB Type-C (hỗ trợ DisplayPort 1.4)
1 x USB 3.2 (Always on)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",HD webcam,Công tắc khóa camera,Không có đèn
//www.thegioididong.com/laptop/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ cổng Thunderbolt 4)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3","Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w,"Jack tai nghe 3.5 mm
1 x USB 2.0
2 x USB 3.2
HDMI
1 x USB Type-C (chỉ hỗ trợ Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3","Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,"USB Type-C
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",SD,Full HD Webcam,Bảo mật vân tay
//www.thegioididong.com/laptop/asus-zenbook-14-ux3405ca-ultra-5-pz187ws,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,1080p FaceTime HD camera,Bảo mật vân tay
//www.thegioididong.com/laptop/asus-vivobook-14-a1405va-i3-ly097w?utm_flashsale=1,"Jack tai nghe 3.5 mm
1 x USB 2.0
2 x USB 3.2
HDMI
1 x USB Type-C 3.2 (hỗ trợ Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Full HD Webcam,Công tắc khóa camera,Đèn chuyển màu RGB - 1 vùng
//www.thegioididong.com/laptop/lenovo-v15-g4-iru-i5-83a1000lvn?utm_flashsale=1,"USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)","Wi-Fi 6 (802.11ax)
Bluetooth 5.1",Micro SD,Full HD Webcam,Không có đèn
//www.thegioididong.com/laptop/samsung-galaxy-chromebook-go-xe310xda-n4500,"Jack tai nghe 3.5 mm
1 x USB 3.2
1 x USB Type-C (chỉ hỗ trợ Power Delivery)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,"TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/lenovo-ideapad-flex-5-14abr8-r7-7730u-82xx00dlvn,"HDMI
1 x USB 3.2
1 x USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)
1 x Headphone/microphone combo
1 x USB 3.2 (Always on)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Smart Card,Camera IR 5 MP,"Màn hình gập 360 độ
Tiêu chuẩn Nền Intel Evo
Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/macbook-air-15-inch-m4-32gb-256gb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Camera IR 5 MP,"Màn hình gập 360 độ
Tiêu chuẩn Nền Intel Evo
Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/macbook-pro-16-inch-m4-pro-24gb-1tb,"MagSafe 3
Jack tai nghe 3.5 mm
HDMI
3 x Thunderbolt 5 (USB-C) (hỗ trợ Charging, DisplayPort, Thunderbolt 4 và USB 4 (up to 40Gb/s))","Wi-Fi 6E (802.11ax)
Bluetooth 5.3","Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,"HDMI
2 x USB Type-A
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)
1 x Headphone/microphone combo","Wi-Fi 6E (802.11ax)
Bluetooth 5.1",Full HD Webcam,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004uvn,"LAN (RJ45)
1 x USB 3.2
HDMI
1 x USB-C (hỗ trợ USB 3.2, USB Power Delivery and DisplayPort 1.4)
1 x USB-C (hỗ trợ Thunderbolt 4 / USB4, USB Power Delivery 3.1 and DisplayPort 2.1)
1 x Headphone/microphone combo
1 x USB 3.2 (Always on)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"MUX Switch
NVIDIA Optimus",Đèn chuyển màu RGB - 4 vùng
//www.thegioididong.com/laptop/lenovo-yoga-pro-7-14imh9-ultra-7-83e2006mvn,"Jack tai nghe 3.5 mm
HDMI
1 x USB-C (hỗ trợ Thunderbolt 4/USB 4, USB Power Delivery 3.0 and DisplayPort 1.4)
1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
1 x USB 3.2 (Always on)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",HD webcam,"Bảo mật vân tay
Công tắc khóa camera",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/dell-inspiron-14-5440-core-7-n4i7204w1,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/macbook-pro-14-inch-m4-16gb-1tb,"MagSafe 3
Jack tai nghe 3.5 mm
HDMI
3 x Thunderbolt 4 ( hỗ trợ DisplayPort, Thunderbolt 4 (up to 40Gb/s), USB 4 (up to 40Gb/s))","Bluetooth 5.0
Wi-Fi 802.11 a/b/g/n/ac",SD,HD webcam,Bảo mật vân tay
//www.thegioididong.com/laptop/hp-victus-16-r0228tx-i5-9q979pa,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36pn-i3-nxktwsv001?utm_flashsale=1,"Jack tai nghe 3.5 mm
HDMI
3 x USB 3.1
1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",Micro SD,"Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/lenovo-v15-g5-irl-core-5-83hf0000vn?utm_flashsale=1,"LAN (RJ45)
2 x USB 3.2
HDMI
1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)
1 x Headphone/microphone combo","Wi-Fi 7 (802.11be)
Bluetooth 5.4",Micro SD,"Full HD Webcam
Camera IR","Độ bền chuẩn quân đội MIL STD 810H
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/hp-elitebook-x360-830-g11-ultra-7-a7rc0pt,"HDMI
2 x USB 3.2
1 x Headphone/microphone combo
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,Đèn nền - Màu hổ phách,Không có
//www.thegioididong.com/laptop/hp-envy-x360-14-fc0153tu-ultra-7-ay8v4pa?utm_flashsale=1,"HDMI
2 x USB Type-A
1 x USB Type-C (USB Power Delivery, DisplayPort 2.1)
1 x Thunderbolt 4 with USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 2.1)
1 x Headphone/microphone combo","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,Full HD Webcam,"TPM 2.0
AI Chip LA3
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/lenovo-yoga-pro-7-14asp9-r9-83hn0022vn,"Jack tai nghe 3.5 mm
HDMI
1 x USB Type-C USB 4 (hỗ trợ DisplayPort và Power Delivery)
1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
1 x USB 3.2 (Always on)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,Đèn chuyển màu RGB - 1 vùng,Không có
//www.thegioididong.com/laptop/acer-swift-go-14-41-r251-r5-nxkg3sv005,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
2 x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/asus-rog-strix-g16-g614ju-i7-n3509w,"LAN (RJ45)
Jack tai nghe 3.5 mm
1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)
2 x USB 3.2
HDMI
1 x Thunderbolt 4 (hỗ trợ DisplayPort)","Bluetooth 5.0
Wi-Fi 802.11 a/b/g/n/ac",SD,HD webcam,Bảo mật vân tay
//www.thegioididong.com/laptop/hp-probook-450-g10-i7-9h8h1pt?utm_flashsale=1,"LAN (RJ45)
2 x USB 3.2
HDMI
1 x Headphone/microphone combo
2 x USB Type-C (Power Delivery and DisplayPort)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,Quạt Arc Flow 84 cánh,"MUX Switch
NVIDIA Optimus
Độ bền chuẩn quân đội MIL STD 810H"
//www.thegioididong.com/laptop/macbook-air-15-inch-m4-24gb-1tb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,"Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/dell-inspiron-15-3520-i7-n3520i7u165w11blufp,"Jack tai nghe 3.5 mm
1 x USB 2.0
2 x USB 3.2
HDMI","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,Không có đèn,Không có
